"","GN","UnterGN","Quartal","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"7267","12253",4,"12/02",2012-04-10,"Mexiko",19592,"GKV","6A002c1","6","A","002c1","Tracker"
"7268","12254",1,"12/02",2012-04-10,"Israel",182000,"GKV","2B201b1","2","B","201b1","Tracker"
"7269","12255",1,"12/02",2012-04-11,"USA",1450,"GKV","1B231a","1","B","231a","Tracker"
"7270","12255",2,"12/02",2012-04-11,"USA",3650,"GKV","1C235","1","C","235","Tracker"
"7271","12255",3,"12/02",2012-04-11,"USA",3200,"GKV","1B231b2","1","B","231b2","Tracker"
"7272","12256",1,"12/02",2012-04-11,"Iran",20274,"unbekannt","unbekannt","","","","Tracker"
"7273","12256",2,"12/02",2012-04-11,"Iran",2781,"unbekannt","unbekannt","","","","Tracker"
"7274","12257",1,"12/02",2012-04-11,"Brasilien",682,"5.1","5.1","1","","","Tracker"
"7275","12258",1,"12/02",2012-04-17,"Russland",60000,"GKV","2B201a","2","B","201a","Tracker"
"7276","12259",1,"12/02",2012-04-11,"Singapur",148340,"ML (GKV)","10c2","10","c2","","Tracker"
"7277","12260",1,"12/02",2012-04-11,"Russland",5220195,"ML (GKV)","10c2","10","c2","","Tracker"
"7278","12261",1,"12/02",2012-04-12,"Slowakei",47230,"GKV","6A002c1","6","A","002c1","Tracker"
"7279","12261",2,"12/02",2012-04-12,"Slowakei",96323,"GKV","6A002c1","6","A","002c1","Tracker"
"7280","12262",1,"12/02",2012-04-12,"Schweden",16900,"ML (GKV)","4c","4","c","","Tracker"
"7281","12263",1,"12/02",2012-04-12,"China",500413,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"7282","12264",1,"12/02",2012-04-12,"Russland",559964,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"7283","12265",1,"12/02",2012-04-12,"Taiwan",16000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7284","12266",1,"12/02",2012-04-12,"Vereinigte Arabische Emirate",44365,"ML (GKV)","1a","1","a","","Tracker"
"7285","12267",1,"12/02",2012-04-12,"China",182795,"GKV","2B201a1","2","B","201a1","Tracker"
"7286","12268",1,"12/02",2012-04-12,"China",346888,"GKV","2B201a1","2","B","201a1","Tracker"
"7287","12269",1,"12/02",2012-04-12,"China",200648,"GKV","2B201a1","2","B","201a1","Tracker"
"7288","12270",1,"12/02",2012-04-12,"China",265781,"GKV","2B201a1","2","B","201a1","Tracker"
"7289","12271",1,"12/02",2012-04-12,"China",520000,"GKV","2B201b1","2","B","201b1","Tracker"
"7290","12272",1,"12/02",2012-04-12,"China",83248,"GKV","5D001","5","D","001","Tracker"
